Team,Season,P,W,D,L,GF,GA,HW,HGF,HGA,AW,AGF,AGA,PTS,H_Att,A_Att,H_Def,A_Def,YC,RC,DIS,CS,GD,Rank
Sunderland,17,38,6,6,26,29,69,3,16,34,3,13,35,24,0.5271828665568369,0.5689277899343544,1.487964989059081,1.1532125205930808,75,4,1.1973684210526316,6,-40,20
Middlesbrough,17,38,5,13,20,27,53,4,17,23,1,10,30,28,0.5601317957166392,0.43763676148796493,1.0065645514223194,0.9884678747940693,76,1,1.0526315789473684,11,-26,19
Hull City,17,38,9,7,22,37,80,8,28,35,1,9,45,34,0.9225700164744646,0.3938730853391684,1.5317286652078774,1.4827018121911038,67,5,1.144736842105263,5,-43,18
Watford,17,38,11,7,20,40,68,8,25,29,3,15,39,40,0.8237232289950578,0.6564551422319475,1.2691466083150984,1.2850082372322902,81,5,1.3289473684210527,7,-28,17
Burnley,17,38,11,7,20,39,55,10,26,20,1,13,35,40,0.85667215815486,0.5689277899343544,0.8752735229759299,1.1532125205930808,64,2,0.9473684210526315,10,-16,16
Swansea City,17,38,12,5,21,45,70,8,27,34,4,18,36,41,0.8896210873146623,0.7877461706783369,1.487964989059081,1.186161449752883,56,0,0.7368421052631579,8,-25,15
Crystal Palace,17,38,12,5,21,50,63,6,24,25,6,26,38,41,0.7907742998352554,1.1378555798687089,1.0940919037199124,1.2520593080724878,78,0,1.0263157894736843,7,-13,14
Leicester City,17,38,12,8,18,48,63,10,31,25,2,17,38,44,1.0214168039538716,0.7439824945295405,1.0940919037199124,1.2520593080724878,72,1,1.0,9,-15,13
Stoke City,17,38,11,11,16,41,56,7,24,24,4,17,32,44,0.7907742998352554,0.7439824945295405,1.0503282275711159,1.0543657331136738,69,2,1.013157894736842,11,-15,12
West Ham Utd,17,38,12,9,17,47,64,7,19,31,5,28,33,45,0.6260296540362439,1.225382932166302,1.3566739606126914,1.0873146622734762,74,5,1.236842105263158,10,-17,11
West Bromwich,17,38,12,9,17,43,51,9,27,22,3,16,29,45,0.8896210873146623,0.7002188183807438,0.962800875273523,0.955518945634267,80,0,1.0526315789473684,6,-8,10
Bournemouth,17,38,12,10,16,55,67,9,35,29,3,20,38,46,1.1532125205930808,0.8752735229759299,1.2691466083150984,1.2520593080724878,50,3,0.8157894736842105,10,-12,9
Southampton,17,38,12,10,16,41,48,6,17,21,6,24,27,46,0.5601317957166392,1.0503282275711159,0.9190371991247265,0.8896210873146623,58,2,0.868421052631579,14,-7,8
Everton,17,38,17,10,11,62,44,13,42,16,4,20,28,61,1.383855024711697,0.8752735229759299,0.7002188183807438,0.9225700164744646,70,2,1.0263157894736843,13,18,7
Manchester Utd,17,38,18,15,5,54,29,8,26,12,10,28,17,69,0.85667215815486,1.225382932166302,0.5251641137855579,0.5601317957166392,77,2,1.118421052631579,17,25,6
Arsenal,17,38,23,6,9,77,44,14,39,16,9,38,28,75,1.2850082372322902,1.663019693654267,0.7002188183807438,0.9225700164744646,68,3,1.0526315789473684,13,33,5
Liverpool,17,38,22,10,6,78,42,12,45,18,10,33,24,76,1.4827018121911038,1.4442013129102844,0.7877461706783369,0.7907742998352554,54,0,0.7105263157894737,12,36,4
Manchester City,17,38,23,9,6,80,39,11,37,17,12,43,22,78,1.2191103789126854,1.8818380743982492,0.7439824945295405,0.7248764415156508,71,4,1.144736842105263,12,41,3
Tottenham,17,38,26,8,4,86,26,17,47,9,9,39,17,86,1.5485996705107086,1.7067833698030634,0.3938730853391684,0.5601317957166392,62,0,0.8157894736842105,17,60,2
Chelsea,17,38,30,3,5,85,33,17,55,17,13,30,16,93,1.812191103789127,1.312910284463895,0.7439824945295405,0.5271828665568369,72,0,0.9473684210526315,16,52,1
